timestamp,temp,hum,lux
1764015271,27.9,37.8,37
1764052555,27.3,37.7,0
1764052556,26.9,38.1,0
1764052557,26.7,38.5,0
1764052558,26.6,38.5,0
1764052559,26.5,38.9,0
1764052615,26.4,39.0,0
1764052616,26.4,38.8,0
1764052617,26.4,39.0,0
1764052618,26.3,39.2,0
1764052619,26.3,39.2,0
1764052675,26.3,39.1,0
1764052676,26.3,39.1,0
1764052677,26.3,39.1,0
1764052678,26.3,39.1,0
1764052679,26.2,39.1,0
1764052735,26.1,38.9,0
1764052736,26.1,39.3,0
1764052737,26.0,39.2,0
1764052738,26.0,39.4,0
1764052739,26.1,39.4,0
1764052795,26.1,39.4,0
1764052796,26.0,39.4,0
1764052797,26.0,39.4,0
1764052798,26.0,39.4,0
1764052799,26.0,39.4,0
1764052855,25.9,39.5,0
1764052856,25.9,39.4,0
1764052857,26.0,39.5,0
1764052857,25.9,39.4,0
1764052858,25.9,39.5,0
1764052916,25.9,39.5,0
1764052917,25.9,39.4,0
1764052918,25.9,39.5,0
1764052919,25.9,39.5,0
1764052920,25.9,39.6,0
1764052975,25.9,39.4,0
1764052978,25.9,39.4,0
1764052979,25.9,39.5,0
1764052980,25.9,39.5,0
1764052981,25.9,39.5,0
1764053035,25.9,39.4,0
1764053036,25.9,39.5,0
1764053037,25.9,39.4,0
1764053038,25.9,39.4,0
1764053039,25.9,39.4,0
1764053095,25.9,39.4,0
1764053096,25.9,39.4,0
1764053097,25.9,39.4,0
1764053098,25.9,39.4,0
1764053098,25.8,39.3,0
1764053155,25.8,39.4,0
1764053156,25.9,39.5,0
1764053157,25.8,39.4,0
1764053158,25.8,39.5,0
1764053159,25.9,39.6,0
1764053215,25.9,39.6,0
1764053216,25.9,39.6,0
1764053217,25.8,39.4,0
1764053218,25.9,39.6,0
1764053219,25.9,39.6,0
1764053275,25.9,39.6,0
1764053276,25.9,39.6,0
1764053277,25.9,39.7,0
1764053278,25.9,39.6,0
1764053278,25.9,39.7,0
1764053335,25.9,39.8,0
1764053336,25.8,39.6,0
1764053337,25.8,39.9,0
1764053338,25.9,39.8,0
1764053340,25.8,39.8,0
1764053395,25.8,39.8,0
1764053396,25.8,39.9,0
1764053397,25.8,39.8,0
1764053398,25.8,39.9,0
1764053399,25.8,39.8,0
1764053455,25.9,39.7,0
1764053456,25.9,39.8,0
1764053462,25.8,39.8,0
1764053515,25.8,39.8,0
1764053516,25.9,39.7,0
1764053517,25.9,39.7,0
1764053518,25.9,39.8,0
1764053519,25.9,39.8,0
1764053575,25.9,39.9,0
1764053579,25.9,39.9,0
1764053579,25.9,39.8,0
1764053580,25.9,39.8,0
1764053581,25.9,39.8,0
1764053635,25.9,39.8,0
1764053636,25.9,39.8,0
1764053637,25.9,39.8,0
1764053638,25.9,39.8,0
1764053639,25.8,39.9,0
1764053695,25.8,39.9,0
1764053696,25.8,39.9,0
1764053697,25.9,40.0,0
1764053698,25.9,39.9,0
1764053698,25.9,40.0,0
1764053755,25.9,40.0,0
1764053756,25.9,39.9,0
1764053757,25.9,40.0,0
1764053758,25.9,39.9,0
1764053759,25.9,39.9,0
1764053815,25.9,39.9,0
1764053816,25.9,39.9,0
1764053817,25.9,39.9,0
1764053818,25.9,40.0,0
1764053819,25.9,39.7,0
1764053875,25.9,39.8,0
1764053876,25.9,39.9,0
1764053877,25.9,39.7,0
1764053878,25.9,39.8,0
1764053879,25.9,39.8,0
1764053935,25.9,39.8,0
1764053939,25.9,39.8,0
1764053940,25.9,39.8,0
1764053940,25.9,39.8,0
1764053941,25.9,39.8,0
1764053997,25.9,39.7,0
1764053998,25.9,39.8,0
1764053999,25.9,39.8,0
1764054000,26.0,39.8,0
1764054001,25.9,39.7,0
1764054056,25.9,39.8,0
1764054057,25.9,39.8,0
1764054058,25.9,39.8,0
1764054059,25.9,39.7,0
1764054060,25.9,39.7,0
1764054115,25.9,39.8,0
1764054116,25.9,39.8,0
1764054117,25.9,39.7,0
1764054119,25.9,39.7,0
1764054120,25.9,39.8,0
1764054175,25.9,39.8,0
1764054176,25.9,39.8,0
1764054179,25.9,39.7,0
1764054179,25.9,39.8,0
1764054180,25.9,39.9,0
1764054236,25.9,39.8,0
1764054237,25.9,39.9,0
1764054238,25.9,39.8,0
1764054242,25.9,39.7,0
1764054243,25.9,39.8,0
1764054295,25.9,39.9,0
1764054296,25.9,39.9,0
1764054297,25.8,39.8,0
1764054298,25.9,39.9,0
1764054299,25.9,40.0,0
1764054355,25.9,40.0,0
1764054356,25.9,39.9,0
1764054358,25.9,39.9,0
1764054359,26.0,39.9,0
1764054360,25.9,39.9,0
1764054415,26.0,39.9,0
1764054416,26.0,39.6,0
1764054417,25.9,40.0,0
1764054418,26.0,40.0,0
1764054419,26.0,40.0,0
1764054475,26.0,40.3,0
1764054476,26.0,40.1,0
1764054477,26.0,40.0,0
1764054478,26.0,40.0,0
1764054479,26.0,40.0,0
1764054535,25.9,39.9,0
1764054536,26.0,40.0,0
1764054537,26.0,40.0,0
1764054538,26.0,40.1,0
1764054539,26.0,39.9,0
1764054595,26.0,39.9,0
1764054596,26.0,39.9,0
1764054597,26.0,39.9,0
1764054598,26.0,40.1,0
1764054599,26.0,40.0,0
1764054656,26.0,40.0,0
1764054657,26.0,39.9,0
1764054658,26.0,39.9,0
1764054659,26.0,40.0,0
1764054660,26.0,40.0,0
1764054715,25.9,40.0,0
1764054716,25.9,39.9,0
1764054717,26.0,40.0,0
1764054718,26.0,40.0,0
1764054719,26.0,40.0,0
1764054775,26.0,39.9,0
1764054776,26.0,39.8,0
1764054777,26.0,39.7,0
1764054778,26.0,39.8,0
1764054779,26.0,39.7,0
1764054835,26.0,39.7,0
1764054836,26.1,39.8,0
1764054837,26.0,39.8,0
1764054838,26.0,39.6,0
1764054839,26.1,39.6,0
1764054895,26.1,39.8,0
1764054899,26.1,39.8,0
1764054900,26.1,39.7,0
1764054901,26.1,39.7,0
1764054902,26.1,39.8,0
1764054955,26.1,39.7,0
1764054956,26.1,39.7,0
1764054958,26.1,39.8,0
1764054959,26.1,39.9,0
1764054960,26.1,39.8,0
1764055015,26.1,39.8,0
1764055016,26.1,39.8,0
1764055017,26.1,39.7,0
1764055018,26.1,39.7,0
1764055019,26.1,39.8,0
1764055075,26.1,39.8,0
1764055076,26.1,39.7,0
1764055078,26.1,39.7,0
1764055079,26.1,39.5,0
1764055080,26.1,39.6,0
1764055135,26.1,39.6,0
1764055136,26.1,39.5,0
1764055138,26.1,39.4,0
1764055141,26.2,39.5,0
1764055143,26.2,39.5,0
1764055195,26.2,39.5,0
1764055196,26.2,39.4,0
1764055198,26.2,39.4,0
1764055199,26.2,39.4,0
1764055200,26.1,39.5,0
1764055255,26.1,39.6,0
1764055256,26.1,39.5,0
1764055257,26.1,39.6,0
